ຊາຍຫາດ,Xai hat,Beach,noun
ເກາະ,Goh,Island,noun
ນ້ຳຕົກຕາດ,Nam tok tat,Waterfall,noun
ຖ້ຳ,Tham,Cave,noun
ທົ່ງຫຍ້າ,Thong nya,Meadow / Pasture,noun
ທະເລຊາຍ,Tha lae xai,Desert,noun
ມະຫາສະໝຸດ,Ma ha sa moot,Ocean,noun
ຄື້ນ,Kheun,Wave,noun
ນ້ຳຂຶ້ນ,Nam kheun,High tide,noun
ນ້ຳລົງ,Nam long,Low tide,noun
ແຜ່ນດິນໄຫວ,Phaen din vai,Earthquake,noun
ພາຍຸ,Pha nyoo,Storm,noun
ນ້ຳຖ້ວມ,Nam thuam,Flood,noun
ໄຟໄໝ້,Fai mai,Fire (Disaster),noun
ໝອກ,Mok,Fog,noun
ຫິມະ,Hi ma,Snow,noun
ອາກາດແຫ້ງ,A gat haeng,Dry air,noun
ອາກາດຊຸ່ມ,A gat xoom,Humid air,noun
ລະດັບນ້ຳທະເລ,Ra dap nam tha lae,Sea level,noun
ມົນລະພິດ,Mon la phit,Pollution,noun
ຂີ້ເຫຍື້ອ,Khee nyeua,Garbage,noun
ການລີໄຊເຄິນ,Gan re-cycle,Recycling,noun
ພະລັງງານສີຂຽວ,Pha lang ngan see khiao,Green energy,noun
ໂລກຮ້ອນ,Lok hon,Global warming,noun
ທຳມະຊາດ,Tham ma xat,Nature,noun
ສິ່ງມີຊີວິດ,Sing mee xee vit,Living things,noun
ມະນຸດ,Ma noot,Human,noun
ຊາຍ,Xai,Male,noun
ຍິງ,Nying,Female,noun
ເດັກນ້ອຍ,Dek noy,Child,noun
ຜູ້ໃຫຍ່,Phu nyai,Adult,noun
ຄົນແກ່,Khon gae,Elderly person,noun
ໄວລຸ້ນ,Vai loon,Teenager,noun
ຄູ່ຮັກ,Khoo huk,Couple,noun
ພັນລະຍາ,Phan la nya,Wife,noun
ສາມີ,Sa mee,Husband,noun
ລູກຊາຍ,Look xai,Son,noun
ລູກສາວ,Look sao,Daughter,noun
ຫຼານ,Lan,Grandchild / Niece / Nephew,noun
ປູ່,Poo,Paternal Grandfather,noun
ຍ່າ,Nya,Paternal Grandmother,noun
ຕາ,Ta,Maternal Grandfather,noun
ຍາຍ,Nyai,Maternal Grandmother,noun
ລຸງ,Loong,Uncle,noun
ປ້າ,Pa,Aunt,noun
ພີ່ນ້ອງ,Phee nong,Relatives,noun
ເພື່ອນບ້ານ,Pheuan ban,Neighbor,noun
ຄົນແປກໜ້າ,Khon paek na,Stranger,noun
ສັດຕູ,Sat too,Enemy,noun
ອາສາສະໝັກ,A sa sa moot,Volunteer,noun
ປະທານ,Pa than,President / Chairman,noun
ຜູ້ນໍາ,Phu nam,Leader,noun
ປະຊາຊົນ,Pa sa xon,Citizens,noun
ຕຳຫຼວດ,Tam luat,Police,noun
ທະຫານ,Tha han,Soldier,noun
ທ່ານໝໍ,Than mor,Doctor,noun
ພະຍາບານ,Pha nya ban,Nurse,noun
ທັນຕະແພດ,Than ta phaet,Dentist,noun
ວິສະວະກອນ,Vi sa va gon,Engineer,noun
ສະຖາປານິກ,Sa tha pa nik,Architect,noun
ນັກບິນ,Nak bin,Pilot,noun
ພໍ່ຄົວ,Phor khua,Chef / Cook,noun
ຊ່າງໄຟຟ້າ,Xang fai fa,Electrician,noun
ຊ່າງປະປາ,Xang pa pa,Plumber,noun
ຊ່າງໄມ້,Xang mai,Carpenter,noun
ນັກຮ້ອງ,Nak hong,Singer,noun
ນັກເຕັ້ນ,Nak ten,Dancer,noun
ນັກສະແດງ,Nak sa daeng,Actor / Actress,noun
ນັກຂຽນ,Nak khian,Writer,noun
ນັກຂ່າວ,Nak khao,Journalist,noun
ທະນາຍຄວາມ,Tha nai khuam,Lawyer,noun
ຊາວກະສິກອນ,Xao ga si gon,Farmer,noun
ຊາວປະມົງ,Xao pa mong,Fisherman,noun
ພະນັກງານຂາຍ,Pha nak ngan khai,Salesperson,noun
ຊ່າງເສີມສວຍ,Xang seim suay,Hairdresser,noun
ຄົນຂັບລົດ,Khon khap lot,Driver,noun
ນັກທຸລະກິດ,Nak thu la git,Businessman,noun
ເລຂານຸການ,Le kha nu gan,Secretary,noun
ນັກບັນຊີ,Nak ban xee,Accountant,noun
ນັກວິທະຍາສາດ,Nak vi tha nya xat,Scientist,noun
ນັກການເມືອງ,Nak gan meuang,Politician,noun
ຕຸລາການ,Too la gan,Judge,noun
ພະສົງ,Pha song,Monk,noun
ນັກບວດ,Nak buat,Priest / Clergy,noun
ນັກທ່ອງທ່ຽວ,Nak thong thiao,Tourist,noun
ແຂກ,Khaek,Guest,noun
ຜູ້ຈັດການ,Phu chat gan,Manager,noun
ຫົວໜ້າ,Hua na,Boss / Head,noun
ລູກນ້ອງ,Look nong,Subordinate,noun
ເພື່ອນຮ່ວມງານ,Pheuan huam ngan,Colleague,noun
Lao Script,Transliteration,English Translation,word type
ແປ້ນພິມ,Paen phim,Keyboard,noun
ເມົາສ໌,Mouse,Mouse (Computer),noun
ໜ້າຈໍ,Na chor,Screen / Monitor,noun
ລຳໂພງ,Lam phong,Speaker,noun
ຫູຟັງ,Hoo fang,Headphones,noun
ສາຍຊາດ,Sai xat,Charger,noun
ແບັດເຕີຣີ,Bat tery,Battery,noun
ປລັກໄຟ,Plak fai,Power plug,noun
ສະວິດ,Sa wit,Switch,noun
ສັນຍານ,San nyan,Signal,noun
ເຄືອຂ່າຍ,Kheua khai,Network,noun
ຊອບແວ,Soft ware,Software,noun
ຮາດແວ,Hard ware,Hardware,noun
ຖານຂໍ້ມູນ,Than kho moon,Database,noun
ການປະມວນຜົນ,Gan pa muan phon,Processing,noun
ຄວາມຈຳ,Khuam cham,Memory / Storage,noun
ດາວໂຫຼດ,Dao lode,Download,verb/noun
ອັບໂຫຼດ,Up lode,Upload,verb/noun
ຕິດຕັ້ງ,Tit tang,Install,verb
ລຶບ,Leup,Delete / Erase,verb
ແກ້ໄຂ,Gae khai,Edit / Fix,verb
ບັນທຶກ,Ban theuk,Save / Record,verb
ຄົ້ນຫາ,Khon ha,Search,verb
ແບ່ງປັນ,Baeng pan,Share,verb
ເຊື່ອມຕໍ່,Cheuam tor,Connect,verb
ຕັດການເຊື່ອມຕໍ່,Tat gan cheuam tor,Disconnect,verb
ອອນໄລນ໌,On line,Online,adjective/adverb
ອອຟໄລນ໌,Off line,Offline,adjective/adverb
ຄວາມປອດໄພໄຊເບີ,Khuam pot phai cyber,Cybersecurity,noun
ໄວຣັສ,Vai rut,Virus,noun
ໄຟລ໌,File,File,noun
ໂຟນເດີ,Folder,Folder,noun
ຄລາວ,Cloud,Cloud (Computing),noun
ປັນຍາປະດິດ,Pan nya pa dit,Artificial Intelligence,noun
ຫຸ່ນຍົນ,Hoon yon,Robot,noun
ອັດຕະໂນມັດ,At ta no mat,Automatic,adjective
ດິຈິຕອນ,Di chi ton,Digital,adjective
ອະນາລັອກ,A na lok,Analog,adjective
ວິທະຍາສາດ,Vi tha nya xat,Science,noun
ເຕັກໂນໂລຊີ,Tek no lo xee,Technology,noun
ວິສະວະກຳ,Vi sa va gam,Engineering,noun
ຄະນິດສາດ,Kha nit xat,Mathematics,noun
ຟີຊິກ,Phee xik,Physics,noun
ເຄມີ,Khe mee,Chemistry,noun
ຊີວະວິທະຍາ,Xee va vi tha nya,Biology,noun
ດາລາສາດ,Da la xat,Astronomy,noun
ພູມີສາດ,Phoo mee xat,Geography,noun
ປະຫວັດສາດ,Pa vat xat,History,noun
ເສດຖະສາດ,Set tha xat,Economics,noun
ຈິດວິທະຍາ,Chit vi tha nya,Psychology,noun
ປັດຊະຍາ,Pat xa ya,Philosophy,noun
ວັນນະຄະດີ,Van na kha dee,Literature,noun
ພາສາ,Pha sa,Language,noun
ໄວຍາກອນ,Vai ya gon,Grammar,noun
ຄຳສັບ,Kham xap,Vocabulary,noun
ການອອກສຽງ,Gan ok siang,Pronunciation,noun
ການແປ,Gan pae,Translation,noun
ວັດຈະນານຸກົມ,Vat xa na nu kom,Dictionary,noun
ບົດຄວາມ,Bot khuam,Article,noun
ບົດກະວີ,Bot ga vee,Poem,noun
ນິຍາຍ,Ni nyai,Novel,noun
ຂ່າວສານ,Khao san,Information / News,noun
ສື່ມວນຊົນ,Seu muan xon,Mass media,noun
ໂທລະໂຄ່ງ,Tho la khong,Megaphone,noun
ໜັງສືພິມ,Nang seu phim,Newspaper,noun
ວາລະສານ,Va la san,Magazine,noun
ປ້າຍໂຄສະນາ,Pai kho sa na,Billboard / Sign,noun
ລາຍການ,Lai gan,Program / List,noun
ຊ່ອງ,Xong,Channel,noun
ການຖ່າຍທອດສົດ,Gan thai thot xot,Live broadcast,noun
ຮູບເງົາ,Hoop ngao,Movie / Film,noun
ລະຄອນ,La khon,Drama / Play,noun
ກາຕູນ,Ga toon,Cartoon,noun
ການສະແດງ,Gan sa daeng,Performance,noun
ເວທີ,Ve thee,Stage,noun
ຜູ້ຊົມ,Phu xom,Audience / Viewer,noun
ແຟນຄລັບ,Fan club,Fan / Follower,noun
ຊື່ສຽງ,Seu siang,Fame / Reputation,noun
ລາງວັນ,Lang van,Award / Prize,noun
ການແຂ່ງຂັນ,Gan khaeng khan,Competition,noun
ກົດລະບຽບ,Got la biap,Rule / Regulation,noun
ມາດຕະຖານ,Mat ta than,Standard,noun
ນະໂຍບາຍ,Na yo bai,Policy,noun
ຍຸດທະສາດ,Yut tha xat,Strategy,noun
ເປົ້າໝາຍ,Pao mai,Target / Goal,noun
ຜົນສຳເລັດ,Phon xam let,Achievement,noun
ຄວາມພະຍາຍາມ,Khuam pha nya yam,Effort,noun
ຄວາມລົ້ມເຫຼວ,Khuam lom hleo,Failure,noun
ປະສົບການ,Pa xop gan,Experience,noun
ທັກສະ,Thak xa,Skill,noun
ຄວາມສາມາດ,Khuam xa mat,Ability,noun
ພອນສະຫວັນ,Phon xa vang,Talent,noun
ໂອກາດ,O gat,Opportunity,noun
ອຸປະສັກ,Oo pa xak,Obstacle,noun
ທາງເລືອກ,Thang leuak,Option / Choice,noun
ການຕັດສິນໃຈ,Gan tat xin chai,Decision,noun
ຄວາມຮັບຜິດຊອບ,Khuam hap phit xop,Responsibility,noun
ໜ້າທີ່,Na thee,Duty / Task,noun
ສິດທິ,Sit thi,Right (Legal/Human),noun
ເສລີພາບ,Se lee phap,Freedom,noun
ຄວາມຍຸຕິທຳ,Khuam yu ti tham,Justice,noun
ກົດໝາຍ,Got mai,Law,noun
ສັນຍາ,San nya,Contract / Promise,noun
ຫຼັກຖານ,Lak than,Evidence,noun
ພະຍານ,Pha nyan,Witness,noun
ຜູ້ຕ້ອງຫາ,Phu tong ha,Suspect,noun
ຄຸກ,Khuk,Prison,noun
ຄວາມສະຫງົບ,Khuam xa ngop,Peace / Quiet,noun
ຄວາມຮຸນແຮງ,Khuam hoon haeng,Violence,noun
ອາດຊະຍາກຳ,At xa ya gam,Crime,noun
ຄວາມທຸກຍາກ,Khuam thuk nyak,Poverty,noun
ຄວາມຮັ່ງມີ,Khuam hang mee,Wealth,noun
ການພັດທະນາ,Gan phat tha na,Development,noun
ການປ່ຽນແປງ,Gan pian paeng,Change,noun
ວັດທະນະທຳ,Vat tha na tham,Culture,noun
ປະເພນີ,Pa phe nee,Tradition,noun
ຄວາມເຊື່ອ,Khuam xeuam,Belief,noun
ສາດສະໜາ,Xat xa na,Religion,noun
ພິທີກຳ,Phi thee gam,Ritual / Ceremony,noun
ງານລ້ຽງ,Ngan liang,Party / Banquet,noun
ງານດອງ,Ngan dong,Wedding,noun
ງານສົບ,Ngan xop,Funeral,noun
ວັນຢຸດ,Van nyut,Holiday,noun
ເທດສະການ,Thet xa gan,Festival,noun
ການພັກຜ່ອນ,Gan phak phon,Relaxation,noun
ວັນຫວ່າງ,Van vang,Free time,noun
ງານອະດິເຣກ,Ngan a di rek,Hobby,noun
ການເດີນທາງ,Gan deun thang,Travel / Journey,noun
ປີ້,Pee,Ticket,noun
ໜັງສືເດີນທາງ,Nang seu deun thang,Passport,noun
ວີຊາ,Vee xa,Visa,noun
ກະເປົາເດີນທາງ,Ga pao deun thang,Suitcase / Luggage,noun
ໂຮງແຮມ,Hong haem,Hotel,noun
ບ້ານພັກ,Ban phak,Guesthouse,noun
ການຈອງ,Gan xong,Reservation / Booking,noun
ລາຄາ,La kha,Price,noun
ສ່ວນຫຼຸດ,Xuan loot,Discount,noun
ເງິນສົດ,Ngin xot,Cash,noun
ບັດເຄຣດິດ,Bat credit,Credit card,noun
ການໂອນເງິນ,Gan on ngin,Money transfer,noun
ໃບຮັບເງິນ,Bai hap ngin,Receipt,noun
ພາສີ,Pha xee,Tax,noun
ກຳໄລ,Gam lai,Profit,noun
ຂາດທຶນ,Khat thun,Loss (Money),noun/verb
ໜີ້ສິນ,Nee xin,Debt,noun
ການລົງທຶນ,Gan long thun,Investment,noun
ຕະຫຼາດ,Ta lat,Market,noun
ການຄ້າ,Gan kha,Trade / Commerce,noun
ທຸລະກິດ,Thu la git,Business,noun
ຫຸ້ນ,Hoon,Stock / Share,noun
ປະກັນໄພ,Pa gan phai,Insurance,noun
ການກຸສົນ,Gan gu xon,Charity,noun
ອາສາສະໝັກ,A xa xa moot,Volunteer,noun
ການຊ່ວຍເຫຼືອ,Gan xuay hleuam,Assistance,noun
ມູນນິທິ,Moon ni thi,Foundation,noun
ໂຄງການ,Khong gan,Project,noun
ອົງການ,Ong gan,Organization,noun
ລັດຖະບານ,Lat tha ban,Government,noun
ກະຊວງ,Ga xuang,Ministry,noun
ເທດສະບານ,Thet xa ban,Municipality,noun
ການເລືອກຕັ້ງ,Gan leuak tang,Election,noun
ປະຊາທິປະໄຕ,Pa xa thi pa tai,Democracy,noun
ການເມືອງ,Gan meuang,Politics,noun
ສັນຕິພາບ, San ti phap,Peace,noun
ສົງຄາມ,Song kham,War,noun
ກອງທັບ,Gong thap,Army / Military,noun
ອາວຸດ,A vut,Weapon,noun
ລະເບີດ,Ra beut,Bomb,noun
ຄວາມຮັກ,Khuam huk,Love,noun
ຄວາມກຽດຊັງ,Khuam giat xang,Hatred,noun
ຄວາມເມດຕາ,Khuam met ta,Kindness / Compassion,noun
ຄວາມອິດສາ,Khuam it xa,Jealousy,noun
ຄວາມໂມໂຫ,Khuam mo ho,Anger,noun
ຄວາມກ້າຫານ,Khuam ga han,Bravery,noun
ຄວາມຢ້ານ,Khuam yan,Fear,noun
ຄວາມອາຍ,Khuam ai,Shame / Shyness,noun
ຄວາມພູມໃຈ,Khuam phoom chai,Pride,noun
ຄວາມໝັ້ນໃຈ,Khuam man chai,Confidence,noun
ความອົດທົນ,Khuam ot thon,Patience,noun
ຄວາມຫວັງ,Khuam vang,Hope,noun
ຄວາມສິ້ນຫວັງ,Khuam xin vang,Despair,noun
ຄວາມໂດດດ່ຽວ,Khuam dot diao,Loneliness,noun
ຄວາມຕື່ນເຕັ້ນ,Khuam teun ten,Excitement,noun
ຄວາມສົງໄສ,Khuam xong xai,Doubt / Suspicion,noun
ຄວາມໄວ້ວາງໃຈ,Khuam vai vang chai,Trust,noun
ຄວາມເຄົາລົບ,Khuam khao lop,Respect,noun
ຄວາມກະຕັນຍູ,Khuam ga tan nyoo,Gratitude,noun
ຄວາມຮັບຜິດຊອບ,Khuam hap phit xop,Responsibility,noun
Lao Script,Transliteration,English Translation,word type
ອົກຊີແຊນ,Ok see xen,Oxygen,noun
ຄາບອນ,Kha bon,Carbon,noun
ໄນໂຕຣເຈນ,Nai tro chen,Nitrogen,noun
ທາດອາຍ,That ai,Gas,noun
ຂອງແຫຼວ,Khong hlaew,Liquid,noun
ຂອງແຂງ,Khong khaeng,Solid,noun
ປະລໍາມະນູ,Pa la ma noo,Atom,noun
ໂມເລກຸນ,Mo le koon,Molecule,noun
ແຮງໂນ້ມຖ່ວງ,Haeng nom thuang,Gravity,noun
ສະໜາມແມ່ເຫຼັກ,Sa nam mae lek,Magnetic field,noun
ລັງສີ,Lang see,Radiation,noun
ຄື້ນສຽງ,Kheun siang,Sound wave,noun
ຄວາມຖີ່,Khuam thee,Frequency,noun
ແຮງດັນ,Haeng dan,Pressure,noun
ສູນຍາກາດ,Soon nya gat,Vacuum,noun
ກ້ອງຈຸລະທັດ,Gong chu la that,Microscope,noun
ກ້ອງດາລາສາດ,Gong da la xat,Telescope,noun
ຫ້ອງທົດລອງ,Hong thot long,Laboratory,noun
ສູດ,Soot,Formula,noun
ທິດສະດີ,Thit sa dee,Theory,noun
ຫຼັກການ,Lak gan,Principle,noun
ວິວັດທະນາການ,Vi vat tha na gan,Evolution,noun
ພັນທຸກຳ,Phan thu gam,Genetics,noun
ຈຸລັງ,Chu lang,Cell (Biology),noun
ເຊື້ອແບັກທີເຣຍ,Xeu bacte ria,Bacteria,noun
ເຊື້ອລາ,Xeu la,Fungus,noun
ພາກສ່ວນ,Phak suan,Part / Section,noun
ອົງປະກອບ,Ong pa gop,Component,noun
ໂຄງສ້າງ,Khong sang,Structure,noun
ຂະບວນການ,Kha buan gan,Process,noun
ເຕັກນິກ,Tek nik,Technique,noun
ປະສິດທິພາບ,Pa sit thi phap,Efficiency,noun
ຄວາມທົນທານ,Khuam thon than,Durability,noun
ຄວາມຍືດຫຍຸ່ນ,Khuam yeut nyoon,Flexibility,noun
ວັດສະດຸ,Vat sa doo,Material,noun
ຊີມັງ,See mang,Cement,noun
ດິນຈີ່,Din chee,Brick,noun
ກະເບື້ອງ,Ga beuang,Tile,noun
ສີທາເຮືອນ,See tha heuan,Paint,noun
ທໍ່,Tho,Pipe,noun
ສາຍໄຟ,Sai fai,Electric wire,noun
ຕະປູ,Ta poo,Nail (Tool),noun
ຄ້ອນຕີ,Khon tee,Hammer,noun
ສະກູ,Sa goo,Screw,noun
ໄຂຄວງ,Khai khuang,Screwdriver,noun
ຄີມ,Keem,Pliers,noun
ເລື່ອຍ,Leuay,Saw,noun
ຂວານ,Khuan,Axe,noun
ຊ້ວນ,Xuan,Shovel,noun
ລໍ້ຍູ້,Lo nyoo,Wheelbarrow,noun
ລົດເຄນ,Rot crane,Crane,noun
ລົດໄຖ,Rot thai,Tractor,noun
ເຄື່ອງຈັກໜັກ,Kheuang chak nak,Heavy machinery,noun
ນ້ຳມັນເຊື້ອໄຟ,Nam man xeu fai,Fuel,noun
ຖ່ານຫີນ,Than heen,Coal,noun
ແກັສທຳມະຊາດ,Gas tham ma xat,Natural gas,noun
ພະລັງງານແສງອາທິດ,Pha lang ngan saeng,Solar energy,noun
ກັງຫັນລົມ,Gang han lom,Wind turbine,noun
ເຂື່ອນ,Kheuan,Dam,noun
ການຜະລິດ,Gan pha lit,Production,noun
ໂຮງງານ,Hong ngan,Factory,noun
ສາງສິນຄ້າ,Sang sin kha,Warehouse,noun
ການຂົນສົ່ງ,Gan khon song,Logistics / Transport,noun
ພາຫະນະ,Pha ha na,Vehicle,noun
ລົດບັນທຸກ,Rot ban thook,Truck,noun
ລົດຕູ້,Rot too,Van,noun
ລົດເມ,Rot me,Bus,noun
ລົດແທັກຊີ້,Rot taxi,Taxi,noun
ລົດສາມລໍ້,Rot sam lo,Tuk-tuk,noun
ເຮືອສິນຄ້າ,Heua sin kha,Cargo ship,noun
ເຮືອດຳນ້ຳ,Heua dam nam,Submarine,noun
ຍານອະວະກາດ,Nyan a va gat,Spacecraft,noun
ດາວທຽມ,Dao thiam,Satellite,noun
ລູກສອນໄຟ,Look son fai,Rocket / Missile,noun
ການບິນ,Gan bin,Aviation,noun
ການນຳທາງ,Gan nam thang,Navigation / GPS,noun
ແຜນທີ່,Phaen thee,Map,noun
ເຂັມທິດ,Khem thit,Compass,noun
ຈຸດໝາຍ,Choot mai,Destination,noun
ການສື່ສານ,Gan seu san,Communication,noun
ໂທລະຄົມ,Tho la khom,Telecom,noun
ຄວາມຖີ່ວິທະຍຸ,Khuam thee vi tha nyoo,Radio frequency,noun
ແບນວິດ,Bandwidth,Bandwidth,noun
ເຊີເວີ,Server,Server,noun
ຖານຂໍ້ມູນ,Than kho moon,Database,noun
ການຂຽນໂປຣແກຣມ,Gan khian program,Programming,noun
ພາສາຄອມພິວເຕີ,Pha sa computer,Coding language,noun
ປັນຍາປະດິດ,Pan nya pa dit,AI,noun
ການຮຽນຮູ້ຂອງເຄື່ອງ,Gan hian roo machine,Machine learning,noun
ຄວາມປອດໄພຂອງຂໍ້ມູນ,Khuam pot phai data,Data security,noun
ການເຂົ້າລະຫັດ,Gan khao ra hat,Encryption,noun
ບລັອກເຊນ,Block chain,Blockchain,noun
ສະກຸນເງິນດິຈິຕອນ,Sa goon ngin digital,Cryptocurrency,noun
ການຕະຫຼາດ,Gan ta lat,Marketing,noun
ຍີ່ຫໍ້,Nyi ho,Brand,noun
ໂລໂກ້,Logo,Logo,noun
ການອອກແບບ,Gan ok baep,Design,noun
ຄວາມຄິດສ້າງສັນ,Khuam khit sang san,Creativity,noun
ນະວັດຕະກຳ,Na vat ta gam,Innovation,noun
ການຄົ້ນຄວ້າ,Gan khon khua,Research,noun
ສະຖິຕິ,Sa thi ti,Statistics,noun
ການວິເຄາະ,Gan vi khaw,Analysis,noun
ບົດສະຫຼຸບ,Bot sa loop,Conclusion,noun
ລາຍໄດ້,Lai dai,Income / Revenue,noun
ລາຍຈ່າຍ,Lai chai,Expense,noun
ງົບປະມານ,Ngop pa man,Budget,noun
ພາສີອາກອນ,Pha see a gon,Taxation,noun
ການກວດສອບບັນຊີ,Gan guat sop ban xee,Audit,noun
ອັດຕາດອກເບ້ຍ,At ta dok bia,Interest rate,noun
ອັດຕາແລກປ່ຽນ,At ta laek pian,Exchange rate,noun
ອັດຕາເງິນເຟີ້,At ta ngin phur,Inflation,noun
ຕະຫຼາດຫຼັກຊັບ,Ta lat lak xap,Stock exchange,noun
ການຄຸ້ມຄອງ,Gan khoom khong,Governance,noun
ນະໂຍບາຍສາທາລະນະ,Na yo bai sa tha,Public policy,noun
ການພົວພັນຕ່າງປະເທດ,Gan phua phan,International relations,noun
ສະຫະປະຊາຊາດ,Sa ha pa xa xat,United Nations,noun
ສົນທິສັນຍາ,Son thi san nya,Treaty,noun
ການທູດ,Gan thoot,Diplomacy,noun
ຊາຍແດນ,Xai daen,Border,noun
ອະທິປະໄຕ,A thi pa tai,Sovereignty,noun
ພົນລະເມືອງ,Phon la meuang,Citizenry,noun
ສິດທິມະນຸດ,Sit thi ma noot,Human rights,noun
ຄວາມສະເໝີພາບ,Khuam sa mur phap,Equality,noun
ຄວາມຫຼາກຫຼາຍ,Khuam hlak lai,Diversity,noun
ຄວາມສາມັກຄີ,Khuam sa mak khee,Unity / Solidarity,noun
ການປະຕິຮູບ,Gan pa ti hoop,Reform,noun
ການປະຕິວັດ,Gan pa ti vat,Revolution,noun
ລະບອບການປົກຄອງ,Ra bop gan pok gong,Regime,noun
ລັດທິ,Lat thi,Ideology,noun
ຈັນຍາບັນ,Chan nya ban,Ethics,noun
ຄຸນນະທຳ,Khoon na tham,Virtue,noun
ສິນລະທຳ,Sin la tham,Morality,noun
ຄວາມຮັບຜິດຊອບຕໍ່ສັງຄົມ,Khuam hap phit,Social responsibility,noun
ການພັດທະນາແບບຍືນຍົງ,Phat tha na yeun yong,Sustainable dev,noun
ການປ່ຽນແປງສະພາບພູມອາກາດ,Pian paeng a gat,Climate change,noun
ອະນຸລັກ,A nu lak,Conserve,verb
ປົກປັກຮັກສາ,Pok pak huk sa,Protect / Maintain,verb
ຟື້ນຟູ,Feun foo,Restore,verb
ປັບຕົວ,Pap tua,Adapt,verb
ປະເມີນ,Pa mein,Evaluate,verb
ຄາດຄະເນ,Khat kha ne,Predict / Forecast,verb
ສົມມຸດ,Som moot,Assume,verb
ພິສູດ,Phi soot,Prove,verb
ໂຕ້ແຍ້ງ,To nyaeng,Argue / Dispute,verb
ສະໜັບສະໜູນ,Sa nap sa noon,Support,verb
ຄັດຄ້ານ,Khat khan,Oppose,verb
ເຈລະຈາ,Che la cha,Negotiate,verb
ໄກ່ເກ່ຍ,Gai gia,Mediate,verb
ແກ້ໄຂບັນຫາ,Gae khai ban ha,Solve problems,verb
ປະສານງານ,Pa san ngan,Coordinate,verb
ຮ່ວມມື,Huam meu,Cooperate,verb
ແຂ່ງຂັນ,Khaeng khan,Compete,verb
ກະຕຸ້ນ,Ga toon,Stimulate / Motivate,verb
ຊຸກຍູ້,Xook nyoo,Push / Promote,verb
ຈັດຕັ້ງ,Chat tang,Organize,verb
ບໍລິຫານ,Bo ri han,Administer,verb
ຄວບຄຸມ,Khuap khoom,Control,verb
ຕິດຕາມ,Tit tam,Monitor / Follow,verb
ກວດກາ,Guat ga,Inspect,verb
ອະນຸມັດ,A nu mat,Approve,verb
ປະກາດ,Pa gat,Announce,verb
ເຜີຍແຜ່,Pheur phae,Distribute / Publish,verb
ສື່ສານ,Seu san,Communicate,verb
ແນະນຳ,Nae nam,Guide / Introduce,verb
ຝຶກອົບຮົມ,Feuk op hom,Train,verb
ພັດທະນາທັກສະ,Phat tha na thak xa,Develop skills,verb
ສ້າງແຮງບັນດານໃຈ,Sang haeng ban dan chai,Inspire,verb
ອົດທົນ,Ot thon,Endure,verb
ເສຍສະຫຼະ,Sia sa hla,Sacrifice,verb
ອຸທິດ,Oo thit,Dedicate,verb
ບັນລຸ,Ban loo,Achieve,verb
ສະຫຼຸບ,Sa loop,Summarize,verb
Lao Script,Transliteration,English Translation,word type
ຈັກກະວານ,Chak ka van,Universe,noun
ກາລັກຊີ,Ga lak xee,Galaxy,noun
ລະບົບສຸລິຍະ,Ra bop su li nya,Solar system,noun
ດາວເຄາະ,Dao khaw,Planet,noun
ຊັ້ນບັນຍາກາດ,Xan ban nya gat,Atmosphere,noun
ແຮງດຶງດູດ,Haeng deung doot,Attraction / Gravity,noun
ສູນສູດ,Soon soot,Equator,noun
ເສັ້ນຂະໜານ,Xen kha nan,Latitude,noun
ເສັ້ນແວງ,Xen vaeng,Longitude,noun
ເຂດເວລາ,Khet ve la,Time zone,noun
ພູມສັນຖານ,Phoom san than,Topography,noun
ຊັບພະຍາກອນ,Xap pha nya gon,Resources,noun
ຊີວະນາໆພັນ,Xee va na na phan,Biodiversity,noun
ລະບົບນິເວດ,Ra bop ni vet,Ecosystem,noun
ຕ່ອງໂສ້ອາຫານ,Tong so a han,Food chain,noun
ການສັງເຄາະແສງ,Gan sang khaw saeng,Photosynthesis,noun
ທາດອາຍພິດ,That ai phit,Toxic gas,noun
ຝຸ່ນລະອອງ,Foon la ong,Dust / Particulates,noun
ຂີ້ຕົມ,Khee tom,Mud,noun
ດິນໜຽວ,Din niay,Clay,noun
ດິນຊາຍ,Din xai,Sand,noun
ຫີນປູນ,Hin poon,Limestone,noun
ຫີນອ່ອນ,Hin on,Marble,noun
ແຮ່ທາດ,Hae that,Minerals,noun
ເພັດ,Phet,Diamond,noun
ນິນ,Nin,Sapphire / Black gem,noun
ທອງແດງ,Thong daeng,Copper,noun
ກົ່ວ,Gua,Tin,noun
ຊືນ,Xuen,Lead (Metal),noun
ອາລູມິນຽມ,A lu mi nium,Aluminum,noun
ສະແຕນເລດ,Stainless,Stainless steel,noun
ພລາສຕິກ,Plastic,Plastic,noun
ຢາງພາລາ,Yang pha la,Rubber,noun
ເສັ້ນໃຍ,Xen nyai,Fiber,noun
ສານສະກັດ,San sa gat,Extract,noun
ສ່ວນປະສົມ,Xuan pa som,Ingredients / Mixture,noun
ຄວາມເຂັ້ມຂຸ້ນ,Khuam khem khoon,Concentration,noun
ຄວາມບໍລິສຸດ,Khuam bo ri soot,Purity,noun
ຄວາມດັນເລືອດ,Khuam dan leuad,Blood pressure,noun
ອັດຕາການເຕັ້ນຂອງຫົວໃຈ,At ta gan ten hua jai,Heart rate,noun
ລະບົບປະສາດ,Ra bop pa xat,Nervous system,noun
